Geo Zone,year,Scenario Type,Collected Method,Slow (Units),Fast (Units),Slow & Fast (Units),,,,,
EU-28+NO+IS+CH,2010,REAL,Reported," 3,200 ", -   ," 3,200 ",,,,,
EU-28+NO+IS+CH,2011,REAL,Reported," 6,129 ", 31 ," 6,160 ",,,,,
EU-28+NO+IS+CH,2012,REAL,Reported," 17,134 ", 350 ," 17,484 ",,,,,
EU-28+NO+IS+CH,2013,REAL,Reported," 27,643 "," 2,020 "," 29,663 ",,,,,
EU-28+NO+IS+CH,2014,REAL,Reported," 38,950 "," 2,867 "," 41,817 ",,,,,
EU-28+NO+IS+CH,2015,REAL,Reported," 61,290 "," 5,591 "," 66,881 ",,,,,
EU-28+NO+IS+CH,2016,REAL,Reported," 112,583 "," 9,330 "," 121,913 ",,,,,
EU-28+NO+IS+CH,2017,REAL,Reported," 122,306 "," 11,028 "," 133,334 ",,,,,
EU-28+NO+IS+CH,2018,REAL,Reported," 136,361 "," 15,039 "," 151,400 ",,,,,
EU-28+NO+IS+CH,2019,REAL,Reported," 187,266 "," 24,736 "," 212,002 ",,,,,
EU-28+NO+IS+CH,2020,REAL,Reported," 236,522 "," 37,536 "," 274,058 ",,,,,
EU-28+NO+IS+CH,2021,REAL,Reported," 289,303 "," 43,901 "," 333,204 ",,,,,
EU-28+NO+IS+CH,2025,IEA-SPS,Interpolation,-,-," 1,400,000 ",,,,,
EU-28+NO+IS+CH,2030,IEA-SPS,Interpolation,-,-," 1,970,000 ",,,,,
EU-28+NO+IS+CH,2035,IEA-SPS,Interpolation,-,-," 2,540,000 ",,,,,
EU-28+NO+IS+CH,2040,IEA-SPS,Interpolation,-,-," 3,110,000 ",,,,,
EU-28+NO+IS+CH,2045,IEA-SPS,Interpolation,-,-," 3,680,000 ",,,,,
EU-28+NO+IS+CH,2050,IEA-SPS,Interpolation,-,-," 4,250,000 ",,,,,
EU-28+NO+IS+CH,2025,IEA-APS,Reported,-,-," 1,520,000 ",,,,,
EU-28+NO+IS+CH,2030,IEA-APS,Reported,-,-," 2,450,000 ",,,,,
EU-28+NO+IS+CH,2035,IEA-APS,Extrapolation,-,-," 3,380,000 ",,,,,
EU-28+NO+IS+CH,2040,IEA-APS,Extrapolation,-,-," 4,310,000 ",,,,,
EU-28+NO+IS+CH,2045,IEA-APS,Extrapolation,-,-," 5,240,000 ",,,,,
EU-28+NO+IS+CH,2050,IEA-APS,Extrapolation,-,-," 6,170,000 ",,,,,
EU-28,2025,VRT-LOW,Reported,-,-," 1,300,000 ",,,,,
EU-28,2030,VRT-LOW,Reported,-,-," 2,900,000 ",,,,,
EU-28,2035,VRT-LOW,Extrapolation,-,-," 4,500,000 ",,,,,
EU-28,2040,VRT-LOW,Extrapolation,-,-," 6,100,000 ",,,,,
EU-28,2045,VRT-LOW,Extrapolation,-,-," 7,700,000 ",,,,,
EU-28,2050,VRT-LOW,Extrapolation,-,-," 9,300,000 ",,,,,
EU-28,2025,VRT-HGH,Reported,-,-," 1,300,000 ",,,,,
EU-28,2030,VRT-HGH,Reported,-,-," 2,900,000 ",,,,,
EU-28,2035,VRT-HGH,Extrapolation,-,-," 4,500,000 ",,,,,
EU-28,2040,VRT-HGH,Extrapolation,-,-," 6,100,000 ",,,,,
EU-28,2045,VRT-HGH,Extrapolation,-,-," 7,700,000 ",,,,,
EU-28,2050,VRT-HGH,Extrapolation,-,-," 9,300,000 ",,,,,
EU-27,2025,CHU-MIN,Interpolation,-,-," 1,134,009 ",,,,,
EU-27,2030,CHU-MIN,Reported,-,-," 1,616,518 ",,,,,
