region,category,parameter,mode,powertrain,year,unit,value
China,Projection-STEPS,Electricity demand,Cars,EV,2020,GWh,9600
China,Projection-STEPS,Oil displacement Mbd,Cars,EV,2020,Milion barrels per day,0.050999999046325684
China,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2020,"Oil displacement, million lge",3000
China,Projection-STEPS,EV sales,Cars,BEV,2020,Vehicles,920000
China,Projection-STEPS,EV stock,Cars,BEV,2020,Vehicles,3500000
China,Projection-STEPS,EV stock,Cars,PHEV,2020,Vehicles,990000
China,Projection-STEPS,EV sales,Cars,PHEV,2020,Vehicles,220000
China,Projection-STEPS,EV stock share,Cars,EV,2020,percent,1.899999976158142
China,Projection-STEPS,EV sales share,Cars,EV,2020,percent,5.699999809265137
China,Projection-STEPS,EV sales share,Cars,EV,2021,percent,16
China,Projection-STEPS,EV stock share,Cars,EV,2021,percent,3.0999999046325684
China,Projection-STEPS,EV sales,Cars,PHEV,2021,Vehicles,550000
China,Projection-STEPS,EV stock,Cars,PHEV,2021,Vehicles,1600000
China,Projection-STEPS,EV stock,Cars,BEV,2021,Vehicles,6200000
China,Projection-STEPS,EV sales,Cars,FCEV,2021,Vehicles,19
China,Projection-STEPS,EV stock,Cars,FCEV,2021,Vehicles,19
China,Projection-STEPS,EV sales,Cars,BEV,2021,Vehicles,2700000
China,Projection-STEPS,Oil displacement Mbd,Cars,EV,2021,Milion barrels per day,0.09799999743700027
China,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2021,"Oil displacement, million lge",5800
China,Projection-STEPS,Electricity demand,Cars,EV,2021,GWh,18000
China,Projection-STEPS,Electricity demand,Cars,EV,2022,GWh,23000
China,Projection-STEPS,Oil displacement Mbd,Cars,EV,2022,Milion barrels per day,0.1599999964237213
China,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2022,"Oil displacement, million lge",9600
China,Projection-STEPS,EV sales,Cars,BEV,2022,Vehicles,4400000
China,Projection-STEPS,EV stock,Cars,FCEV,2022,Vehicles,240
China,Projection-STEPS,EV sales,Cars,FCEV,2022,Vehicles,240
