Country,BEV_Incentive_2019 (USD),PHEV_Incentive_2019 (USD),EV_Incentive_2019 (USD),BEV_Incentive_2021 (USD),PHEV_Incentive_2021 (USD),EV_Incentive_2021 (USD),Avg_EV_Incentive,EV_Incentive_Type,Incentive_Strength,EV_Sales_2021,EV_Sales_2019,Avg_EV_Sales
Belgium,4800,3100,7900,0,0,0,3950,Tax Benefit,Moderate,71000,17700,44350
Canada,3800,1900,5700,4000,4000,8000,6850,POS Subsidy,Strong,87000,51000,69000
China,3700,1500,5200,2400,1000,3400,4300,POS Subsidy,Moderate,3250000,1060000,2155000
France,9100,1000,10100,7000,1200,8200,9150,Feebate,Strong,310000,64000,187000
Germany,4600,3400,8000,10600,7950,18550,13275,POS Subsidy + Rebate,Strong,690000,108000,399000
Italy,4700,1800,6500,4700,1800,6500,6500,POS Subsidy,Strong,138000,17500,77750
Japan,3500,1700,5200,7170,3850,11020,7710,POS Subsidy,Strong,45000,39000,42000
Netherlands,8000,3800,11800,4700,0,4700,8250,Tax + POS Subsidy,Strong,110000,69700,89850
Norway,11600,10000,21600,10700,9200,19900,20750,Tax Exemption,Strong,148000,79000,113500
Portugal,3400,1300,4700,2650,1325,3975,4340,POS Subsidy,Moderate,29000,12600,20800
South Korea,13200,6700,19900,7200,7200,14400,17150,POS Subsidy,Strong,91000,35700,63350
Spain,6400,0,6400,6500,3200,9700,8050,POS Subsidy,Strong,67000,17400,42200
Sweden,6500,2400,8900,6900,2400,9300,9100,Feebate,Strong,135000,41000,88000
United Kingdom,4500,0,4500,2040,,2040,3270,POS Subsidy,Moderate,310000,75000,192500
United States,7500,7500,15000,7500,7500,15000,15000,Income Tax Credit,Strong,630000,325000,477500
