country_economy,level,policyType,keyPolicyMeasuresAndTargets,year,category,source,policyStage
Belgium,Subnational,Legislation,"EVs are indefinitely exempt from both annual road and registration tax (PHEV and NG exemption ended in 2020). Tax relief via income tax of 15% also applies to the purchase of electric motorbikes, tricycles, and quadricycles.",2019.0,"LDV, Taxation",Government of Flanders,Tax Credits
Belgium,Subnational,Target,At least 5% of all trucks sales will be zero-emission or low-carbon by 2030.,2019.0,M/HDV,Government of Flanders,ZEV Mandates
Belgium,Subnational,Target,"At least 30% of new LCVs will be zero-emissions by 2030, and encouraging emission-free distribution from 2025.",2019.0,LDV,Government of Flanders,ZEV Mandates
Belgium,Subnational,Target,"All urban public transport will be HEV, BEV, or FCEV by 2025, with all buses emission free by 2035.",2019.0,Bus,Government of Flanders,ICE Bans
Belgium,Subnational,Target,"50% of all new purchases of non-urban buses, and at least 5% of trucks, will be zero-emission or low-carbon by 2030.",2019.0,Bus,Government of Flanders,ICE Bans
Belgium,Subnational,Target,"20% of sales to be ZEV by 2025, and 50% BEV or FCEV sales and 20% PHEV in 2030.",2019.0,LDV,Government of Flanders,ZEV Mandates
Cabo Verde,National,Target,"50% share of EVs in urban bus sales by 2025, 75% by 2030 and 100% by 2040.",2019.0,Bus,Government of Cape Verde,ICE Bans
Cabo Verde,National,Target,"35% share of passenger LDV sales to be EVs by 2025, 70% by 2030 and 100% by 2035.",2019.0,LDV,Government of Cape Verde,ZEV Mandates
Cabo Verde,National,Target,25% share of EVs in heavy truck sales by 2030 and 100% by 2035.,2019.0,M/HDV,Government of Cape Verde,ZEV Mandates
China,Subnational,Ambition,"End the sale of petrol and diesel vehicles by 2030. From 2030, all vehicle sales will be either NEVs or natural gas vehicles.",2019.0,"LDV, M/HDV",Hainan Provincial Government,ZEV Mandates
Malaysia,National,Ambition,National Automotive Plan 2020 aiming to increase Malaysia's role in producing electrified vehicles.,2020.0,Manufacturing,Government of Malaysia,Unclear / Needs Review
Mexico,National,Legislation,"Import tax exemption for EVs (electric passenger vehicles, light vehicles, cargo vehicles and trolleybuses) as temporary measure until 30 September 2024.",2020.0,"Multiple, Taxation",Government of Mexico,Unclear / Needs Review
Belgium,Subnational,Legislation,"EVs are eligible for the lowest rate of annual ownership tax, HEVs are taxed in the same way as ICEs (engine size and emissions).",,"LDV, Taxation",Government of Wallonia,Tax Credits
Cabo Verde,National,Target,"15% share of EVs in medium truck sales by 2025, 35% by 2030 and 100% by 2035.",2019.0,M/HDV,Government of Cape Verde,ZEV Mandates
Cabo Verde,National,Target,100% EVs in government LDV stock by 2030.,2019.0,LDV,Government of Cape Verde,ZEV Mandates
Canada,National,Legislation,Accelerated Capital Cost Allowance (CCA) for ZEVs.,2019.0,Taxation,Government of Canada,ZEV Mandates
Canada,National,Legislation,"Grant towards the purchase or lease of a new BEV, FCEV, or PHEV, lower value for PHEVs with less than 50km range (iZEV programme).",2019.0,LDV,Government of Canada,ZEV Mandates
Canada,Multi-national,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",2019.0,M/HDV,CALSTART: Drive to Zero MOU,ZEV Mandates
China,National,Legislation,"Fuel economy standard tightened: By 2025, passenger LDVs to reach 4.0L/100km as measured by the worldwide harmonized light vehicle test procedure (WLTP).",2019.0,LDV,China State Administration for Market Regulation,Unclear / Needs Review
Colombia,National,Legislation,Minimum EV purchase quota of 30% for public service fleets by 2025.,2019.0,Bus,Government of Colombia,Direct Subsidies
Canada,Subnational,Ambition,"Increase the number of fast-chargers to 2 500 by 2030, and up to 4 500 standard chargers.",2020.0,EVSE,Government of Quebec,ZEV Mandates
Canada,Subnational,Target,"All new public/government funded buses will be electric by 2025, and 55% of city buses and 65% of school buses by 2030.",2020.0,Bus,Government of Quebec,ZEV Mandates
Canada,Subnational,Target,40% of taxis to be electric by 2030.,2020.0,LDV,Government of Quebec,ZEV Mandates
Canada,Subnational,Target,"100% of government cars, SUVs, vans and minivans and 25% of its pickup trucks to be electrified by 2030.",2020.0,LDV,Government of Quebec,ZEV Mandates
Canada,Subnational,Legislation,"Requires ZEV sales to reach 22% in 2025, 85% in 2030 and 100% in 2035, aiming for 2 million EVs by 2030.",2020.0,LDV,Government of Quebec,ZEV Mandates
Cambodia,National,Ambition,70% of motorcycle stock to be EVs by 2050.,2021.0,2/3W,Government of Cambodia,Unclear / Needs Review
Canada,National,Legislation,"Support public and school bus operators plan for electrification, funding 5 000 zero emission bus purchases and supporting infrastructure (Zero Emission Transit Fund).",2021.0,Bus,Government of Canada,Infrastructure Spending
Canada,Subnational,Legislation,"Rebate towards the purchase of a BEV or PHEV with more than 50km range, or a lower amount for a PHEV with less than 50km range, which can be combined with federal incentives.",,LDV,Government of Yukon,EV Grants
Canada,Subnational,Legislation,Rebate of 25% for a BEV motorcycle.,,2/3W,Government of Yukon,EV Grants
Canada,Subnational,Legislation,"Homeowners can receive grants of 50%, businesses 75%, and municipalities/first nations 90% per charger installed.",,EVSE,Government of Yukon,EV Grants
New Zealand,National,Legislation,EVs are exempt from Road User Charges.,2009.0,"Taxation, LDV",Government of New Zealand,Tax Credits
United States,Subnational,Legislation,Low Carbon Fuel Standard sets annual carbon intensity (CI) targets. Transport fuel suppliers generate credits for fuels below the CI target (including electricity and hydrogen).The aim is to reduce the CI of the transportation fuel pool by at least 20% by 2030 compared to 2010.,2009.0,Multiple,California Air Resources Board,ZEV Mandates
United States,Subnational,Legislation,Grants towards the purchase of a new electric bus.,2009.0,Bus,California Air Resources Board,EV Grants
United States,Subnational,Legislation,Grant towards the purchase of a new electric truck.,2009.0,"M/HDV, Bus",California Air Resources Board,EV Grants
Japan,National,Target,"20-30% share of BEVs and PHEVs, 30-40% share of HEVs and 3% share of FCEVs in passenger LDV sales by 2030.",2010.0,LDV,Government of Japan,ZEV Mandates
Germany,National,Legislation,"Motor tax exemption for EVs with less than 50g CO2/km emissions or at least 60km range (80km from 2025) until 2030. Privileges for electric cars on German roads, e.g. car parking and bus lane use.",2012.0,"LDV, Taxation",Government of Germany,Tax Credits
Italy,Subnational,Legislation,"EVs and CNG/LPG cars are exempt from annual ownership tax for 5 years from purchase, and receive a 75% discount on this tax relative to petrol cars from purchase onwards, though exact benefits vary by region.",2014.0,LDV,Automobile Club d'Italia,Tax Credits
Canada,National,Legislation,"Canadian CO2 emissions standards are aligned with the US Phase 2 standard, 432-627 g CO2/bhp-hr (for tractors, vocational vehicles and spark ignition engines) and 48.3-413 g CO2/t-mile for (all other) various heavy commercial vehicles. This will reduce CO2 emissions by 5-27% in 2027 (depending on vehicle category and weight) compared to 2017.",2016.0,M/HDV,"United States, Environmental Protection Agency",Net-Zero Regulations
Hungary,National,Legislation,"BEVs and PHEVs with a range of over 25km are exempt from car tax, and partially exempt from company car and registration taxes.",2016.0,"LDV, Taxation",Government of Hungary,Tax Credits
Sweden,National,Legislation,"A grant of 20% of the purchase price is available for public transport authorities, municipalities, or limited companies; 40% of the difference between the EV bus purchase price and a comparable diesel bus for private transport companies.",2016.0,Bus,Government of Sweden,EV Grants
United Kingdom,National,Legislation,"Grant schemes for EV charging infrastructure include the EV chargepoint grant, Workplace Charging Scheme, and EV Homecharge Scheme, among others.",2016.0,EVSE,Government of the United Kingdom,EV Grants
United States,National,Legislation,"Funding towards purchasing or leasing of low or no emissions buses (up to 85% of vehicle costs, up to 90% of infrastructure costs).",2016.0,"Bus, EVSE","United States, Federal Transit Administration",Infrastructure Spending
Viet Nam,National,Proposal,"Decree No. 57/2020/ND-CP: Encourage the production of environmentally friendly vehicles (fuel-saving cars, HEVs, vehicles using biofuels, EVs), meeting the requirements of emission standards according to the approved roadmap. In addition, to support the development of the country’s automobile industry, 0% preferential import tax rates will be levied on raw materials and components used for automobile manufacturing and assembly that has not yet been domestically made, from 2020 to 2024.",2016.0,Manufacturing,Government of Vietnam,Early EV R&D
China,National,Ambition,"Aiming to increase competitiveness in the global auto industry by 2025, focussing on NEVs and intelligent vehicle technologies. (China's mid-to-long-term automotive industry development plan).",2017.0,Manufacturing,"China, Ministry of Industry and Information Technology",Early EV R&D
Costa Rica,National,Legislation,Tax exemptions and reductions when purchasing an EV.,2017.0,Taxation,Government of Costa Rica,Unclear / Needs Review
Czechia,National,Legislation,Funding available for government or municipal purchases of alternatively fuelled vehicles with 80% of funding for BEV/PHEV solutions.,2017.0,Multiple,Government of the Czech Republic,EV Grants
India,Subnational,Target,"4W mini goods vehicles, cab aggregators, corporate fleets, and school buses/vans to achieve 100% electric mobility by 2030 in sales.",2017.0,LDV,"NITI Aayog, Government of India",ZEV Mandates
India,Subnational,Target,Three-wheeler sales to achieve 100% electric mobility by 2030.,2017.0,2/3W,"NITI Aayog, Government of India",ZEV Mandates
Malaysia,National,Target,"100% (electrified, CNG, LPG or biofuel-fuelled vehicle) stock for all private transport by 2030.",2017.0,LDV,Government of Malaysia,ZEV Mandates
Philippines,National,Legislation,Hybrids pay 50% of the excise tax and BEVs are exempt.,2017.0,"LDV, Taxation",Government of the Philippines,Tax Credits
Portugal,National,Legislation,"Grants towards the purchase of private BEVs, with higher amounts available for BEV LCVs.",2017.0,LDV,Government of Portugal,EV Grants
Portugal,National,Legislation,Grants available for the installation cost plus up to 80% of the cost of a home charger.,2017.0,EVSE,Government of Portugal,EV Grants
Portugal,National,Legislation,"BEVs are exempt from payment of vehicle and road tax, reduction of 75% for PHEVs, and 40% for HEVs.",2017.0,"LDV, Taxation",Government of Portugal,Tax Credits
Slovenia,National,Legislation,Grant towards the purchase of a new BEV.,2017.0,LDV,Government of Slovenia,EV Grants
Slovenia,National,Target,"No new sales of LDVs with CO2 emissions above 100 g CO2/km by 2025, and 50 g CO2/km by 2030.",2017.0,LDV,Government of Slovenia,ZEV Mandates
Sri Lanka,National,Target,All state-owned vehicles to be electric by 2025 (across all modes).,2017.0,Multiple,Government of Sri Lanka,ZEV Mandates
Sri Lanka,National,Target,Passenger LDV fleet to be EVs by 2040.,2017.0,LDV,Government of Sri Lanka,ZEV Mandates
China,National,Legislation,NEVs are exempted from China's vehicle and vessel tax.,2018.0,Taxation,"China, State Taxation Administration",Tax Credits
Costa Rica,National,Ambition,"By 2050, 60% of the fleet of light vehicles (private and institutional) will be zero emissions.",2018.0,LDV,Government of Costa Rica,ZEV Mandates
Costa Rica,National,Ambition,At least 50% of cargo to be highly efficient by 2050.,2018.0,M/HDV,Government of Costa Rica,Net-Zero Regulations
Costa Rica,National,Ambition,"70% of taxis to be zero-emissions by 2035, 100% by 2050.",2018.0,LDV,Government of Costa Rica,ZEV Mandates
Costa Rica,National,Ambition,"70% of buses to be zero-emissions by 2035, 100% by 2050.",2018.0,Bus,Government of Costa Rica,ZEV Mandates
Costa Rica,National,Ambition,"25% of the fleet should be electric by 2035, 60% by 2050, and 100% of new sales by 2050.",2018.0,LDV,Government of Costa Rica,ZEV Mandates
Denmark,National,Target,"Urban public transport to be emission-free from 2030, starting with new sales from 2020. 75% of public buses will be low- or zero-emission by 2030.",2018.0,Bus,Government of Denmark,ICE Bans
France,National,Ambition,5 000 passenger and commercial LDV FCEV stock by 2023 and 20 000-50 000 by 2028.,2018.0,LDV,Government of France,Direct Subsidies
India,Subnational,Target,100% electric bus sales by 2029.,2018.0,Bus,"NITI Aayog, Government of India",ZEV Mandates
Ireland,National,Legislation,"Reduced toll and motor tax for low emissions vehicles, Value Related Tax (VRT) relief, exemption from Benefit-in-Kind taxes, and Accelerated Capital Allowance.",2018.0,"LDV, Taxation",Government of Ireland,Early EV R&D
Israel,National,Ambition,"Ban on all non-EV or non-CNG vehicles after 2030, leading to 1.4 million EV sales by 2030.",2018.0,LDV,Government of Israel,ICE Bans
Israel,National,Ambition,"5% share of private vehicles sold in 2022 to be EVs, 23% by 2025 and 61% by 2028, with 100% to be EVs by 2030.",2018.0,LDV,Government of Israel,ZEV Mandates
Poland,National,Legislation,"Local governments have to ensure at least a 30% share of ZEVs in their LDV fleets by 2025, as well as 30% ZEV (or biomethane) buses in public transport services from 2028. Central government central LDV fleet target is 50% by 2025.",2018.0,"LDV, Bus",Government of Poland,ZEV Mandates
South Africa,National,Target,"Convert 5% of the public and national fleet to cleaner alternative fuel and efficient technology vehicles by 2025, with annual increase of 2% thereafter.",2018.0,"Bus, Multiple",Government of South Africa,Direct Subsidies
South Africa,National,Target,Add 40 solar powered public EV charging stations per annum.,2018.0,EVSE,Government of South Africa,Infrastructure Spending
United States,Subnational,Legislation,250 000 electric vehicle charging stations by 2025 (as indicated in the Executive Order B-48-18).,2018.0,EVSE,California Public Utilities Commission,Infrastructure Spending
Colombia,National,Ambition,600 000 EV stock (i.e. registrations) across all modes by 2030.,2019.0,Multiple,Government of Colombia,ZEV Mandates
Colombia,National,Legislation,Minimum EV charging infrastructure requirements specify a minimum of 5 charging stations in all Special Category municipalities and 20 stations by 2022 in Bogotá.,2019.0,EVSE,Government of Colombia,ZEV Mandates
Colombia,National,Legislation,"A national minimum share of 30% EVs for new public buses purchased or rented by 2025, while city bus fleets must ensure that 10% of new buses are EVs in 2025, rising every two years up to to 100% by 2035.",2019.0,Bus,Government of Colombia,ZEV Mandates
Colombia,National,Legislation,Law 1972 of 2019: 100% Compliance with Euro-VI equivalent standards for all HDVs in circulation by 2035.,2019.0,M/HDV,Government of Colombia,ZEV Mandates
Ecuador,National,Legislation,100% of new public transport fleet to be electric by 2025.,2019.0,Bus,Government of Ecuador,Infrastructure Spending
European Union,Supranational,Ambition,European Green Deal: 13 million low-emission passenger vehicles by 2025.,2019.0,LDV,European Commission,Net-Zero Regulations
European Union,Supranational,Target,"Clean Vehicles Directive: Public procurement targets of 6% to 10% share of clean HDV (N2 and N3) sales by 2026, and 7% to 15% by 2031.",2019.0,M/HDV,European Commission,Net-Zero Regulations
European Union,Supranational,Target,"Clean Vehicles Directive: Public procurement targets of 27% to 45% share of clean bus (M3) sales by 2026, and 33% to 65% by 2031, 50% of which must be ZEVs (or 25% if 80% or more of bus purchases in that period are double-deckers).",2019.0,Bus,European Commission,ZEV Mandates
European Union,Supranational,Target,Clean Vehicles Directive: EV public procurement targets of 17.6% to 38.5% EV share of LDV sales by 2025.,2019.0,LDV,European Commission,Net-Zero Regulations
France,National,Legislation,"In 2022, companies with over 100 LDVs must include at least 10% low-emissions vehicles in their renewals, rising to 20% in 2024, 35% in 2027, and 50% by 2030 (Article 77).",2019.0,LDV,Government of France,ZEV Mandates
France,National,Legislation,End sale of new fossil fuel LDVs by 2040.,2019.0,LDV,Government of France,ICE Bans
France,National,Legislation,"At least 50% of public/state LDV renewals must be low-emission vehicles, rising to 70% from 2027. For local authorities, from 2026, 37.4% of all LDV renewals must be very low-emissions.",2019.0,LDV,Government of France,Net-Zero Regulations
France,National,Legislation,"At least 50% of public buses and coaches must be low-emissions, 100% from 2025. In large towns/cities, at least 50% of buses must be very low-emission from 2022.",2019.0,Bus,Government of France,ZEV Mandates
France,National,Ambition,"200 heavy commercial FCEV stock by 2023, and 800-2 000 heavy commercial FCEV stock by 2028.",2019.0,M/HDV,Government of France,Direct Subsidies
Germany,National,Ambition,Plan to have 15 million EVs on Germany roads by 2030,2019.0,LDV,Government of Germany,ZEV Mandates
Hungary,National,Legislation,"Funded programme that seeks to replace existing bus fleet with electric (BEV, FCEV, and trolley e-bus) options and encourage local production.",2019.0,"Bus, Manufacturing",Government of Hungary,Direct Subsidies
India,National,Legislation,"Per kWh subsidy for electric two-wheeler increased to INR 15 000/kWh from earlier subsidy of INR 10 000/kWh, with a 50% local content requirement.",2019.0,2/3W,"India, Department of Heavy Industries",ZEV Mandates
India,Subnational,Ambition,1 million EVs in stock by 2030 across all segments,2019.0,Multiple,"NITI Aayog, Government of India",ZEV Mandates
India,Subnational,Target,100% electric bus sales by 2025.,2019.0,Bus,"NITI Aayog, Government of India",ZEV Mandates
India,Subnational,Target,100% electric bus sales by 2028.,2019.0,Bus,"NITI Aayog, Government of India",ZEV Mandates
India,Subnational,Ambition,100% electric commercial and logistics fleet sales by 2028.,2019.0,2/3W,"NITI Aayog, Government of India",ZEV Mandates
India,Subnational,Ambition,Roll out nearly 1 million EVs in stock across all segments of vehicles by 2024.,2019.0,Multiple,"NITI Aayog, Government of India",Direct Subsidies
India,Subnational,Target,1 000 electric buses in stock by 2030.,2019.0,Bus,"NITI Aayog, Government of India",ZEV Mandates
Indonesia,National,Ambition,"Production targets of 10% of 8 million two-wheeler units to be electric in 2020, 20% of 10 million units in 2025, 25% of 12.5 million in 2030 and 30% of 15 million in 2035.",2019.0,"Manufacturing, 2/3W",Government of Indonesia,Infrastructure Spending
Indonesia,National,Ambition,"Production targets of 10% of 1.5 million cars to be electric in 2020, 20% out of 2 million units in 2025, 25% out of 3 million in 2030 and 30% out of 4 million in 2035.",2019.0,"Manufacturing, LDV",Government of Indonesia,Infrastructure Spending
Ireland,National,Target,"No new diesel buses from 2019, ambition for all urban buses to be low emission by 2035, with 300 and 1 500 electric buses by 2025 and 2030 respectively.",2019.0,Bus,Government of Ireland,ICE Bans
Italy,National,Legislation,Subsidy in the form of tax relief for installing home chargers.,2019.0,"EVSE, Taxation",Government of Italy,Tax Credits
Italy,National,Legislation,85% share of EVs and hybrids in all public LDV by 2030; 30% by 2022 and 50% by 2025 (includes methane and hydrogen in some cases).,2019.0,LDV,Government of Italy,ZEV Mandates
Italy,National,Legislation,85% share of EVs and hybrids in all public HDV purchases by 2030; 30% by 2022 and 50% by 2025 (includes methane and hydrogen in some cases).,2019.0,M/HDV,Government of Italy,ZEV Mandates
Italy,National,Ambition,6 million passenger electric LDV stock (including 4 million BEVs by 2030).,2019.0,LDV,Government of Italy,ZEV Mandates
Japan,National,Legislation,Fuel economy standard: 6.52 or 7.63 km/L (JH25) by 2025 (depending on vehicle class and weight) for heavy commercial vehicles. Target to reduce fuel consumption by 13.4-14.3% compared to 2015 standard.,2019.0,M/HDV,Government of Japan,Net-Zero Regulations
Korea,Subnational,Target,Subsidise electric motorcycles with the aim of reaching 100 000 by 2025.,2019.0,2/3W,Government of Seoul,Direct Subsidies
Kyrgyzstan,National,Legislation,EVs are exempt from import duties and annual registration tax.,2019.0,Taxation,Government of Kyrgyzstan,Tax Credits
Luxembourg,National,Legislation,"Up to EUR 2 000 towards the installation of an eligible charger (EUR 1 200 for a family home, EUR 1 650 for multi-residence complex).",2019.0,Multiple,Government of Luxembourg,Direct Subsidies
Netherlands,National,Ambition,3 000 heavy-duty FCEV by 2025.,2019.0,M/HDV,Government of the Netherlands,Direct Subsidies
Netherlands,National,Ambition,"15 000 FCEV passenger car stock by 2025, 300 000 by 2030; 50% ZEV share of taxi sales by 2025.",2019.0,LDV,Government of the Netherlands,ZEV Mandates
Netherlands,National,Target,100% of public urban bus sales to be ZEV by 2025 and 100% ZEV stock by 2030.,2019.0,Bus,Netherlands Enterprise Agency,ZEV Mandates
Netherlands,Subnational,Ambition,"Emission-free for all traffic by 2030, including a 2025 target for an extensive emission free zone.",2019.0,Multiple,City of Amsterdam,ZEV Mandates
Pakistan,National,Target,"50% share of EVs in two/three-wheeler sales by 2030, and 90% by 2040.",2019.0,2/3W,Government of Pakistan,ZEV Mandates
Pakistan,National,Target,"50% share of bus sales to be EV by 2030, and 90% by 2040.",2019.0,Bus,Government of Pakistan,ZEV Mandates
Pakistan,National,Target,"30% share of EVs in LDV sales by 2030, and 90% by 2040.",2019.0,LDV,Government of Pakistan,ZEV Mandates
Portugal,National,Ambition,Hydrogen and electricity to account for almost 100% of heavy duty transport by 2050.,2019.0,M/HDV,Government of Portugal,ZEV Mandates
Portugal,National,Ambition,"30% EV share of car sales by 2030, 100% by 2050. Diesel to no longer be cost effective by 2030, petrol by 2040, in both cases replaced by EVs.",2019.0,LDV,Government of Portugal,ZEV Mandates
Sweden,National,Proposal,Ban on new petrol or diesel cars sales after 2030.,2019.0,LDV,Government of Sweden,ICE Bans
United States,Subnational,Legislation,"From 2029, 100% of new purchases by transit agencies must be zero emission buses, with a goal of full transition by 2040.",2019.0,Bus,California Air Resources Board,ZEV Mandates
Belgium,Subnational,Legislation,"Tax relief for company vehicles is tied to emissions, with 0g CO2 vehicles qualifying for up to 120% relief. Electricity costs are deductible at 75%.",2020.0,"LDV, Taxation",Government of Flanders,Tax Credits
Czechia,National,Legislation,"Exemption from registration fee and road tolls for BEV, FCEV, and HEVs with CO2 emissions less than 50 grammes per km.",2020.0,"LDV, Taxation",Government of the Czech Republic,EV Grants
Czechia,National,Ambition,50% share of alternatively fuelled vehicles in the government (public) fleet (M1 and N1) by 2030.,2020.0,LDV,Government of the Czech Republic,ZEV Mandates
Denmark,National,Ambition,1 million passenger LDV stock to be ZEV by 2030.,2020.0,LDV,Government of Denmark,ZEV Mandates
Dominican Republic,National,Ambition,"30% of the fleet to be electric by 2030, and 100% by 2050.",2020.0,Bus,Government of the Dominican Republic,ZEV Mandates
Dominican Republic,National,Ambition,"14 000 charging stations in 2030, 150 000 by 2050.",2020.0,EVSE,Government of the Dominican Republic,Infrastructure Spending
Dominican Republic,National,Ambition,10% of the private car fleet being EVs by 2030; 70% by 2050 (10% and 50% for the light commercial fleet).,2020.0,LDV,Government of the Dominican Republic,ZEV Mandates
Dominican Republic,National,Ambition,EV owners pay only 50% of the new car sales VAT tax and the first license plate.,2020.0,Taxation,Government of the Dominican Republic,Tax Credits
Dominican Republic,National,Ambition,5% of the private motorcycle fleet (plus 20% of the public sector fleet) to be electric by 2030; 35% by 2050.,2020.0,2/3W,Government of the Dominican Republic,ZEV Mandates
European Union,Supranational,Ambition,30 million passenger ZEV stock by 2030 and nearly all passenger LDV and HDV stock by 2050 (Sustainable and Smart Mobility Strategy).,2020.0,"LDV, M/HDV",European Commission,ZEV Mandates
Finland,National,Target,"At least 250 000 BEV, FCEV, and PHEVs by 2030.",2020.0,Multiple,Government of Finland,ZEV Mandates
Israel,National,Legislation,"By 2025, all new municipal buses will be electric, with grants in place to help achieve this.",2020.0,Bus,Government of Israel,EV Grants
Japan,National,Legislation,"Fuel economy standard: 25.4 km/L for passenger LDVs by 2030, equivalent to a 32.4% improvement compared to 2016 and includes EVs. Well-to-wheel approach adopted that includes grid electricity energy consumption for EVs.",2020.0,LDV,Government of Japan,Infrastructure Spending
Kenya,National,Ambition,5% share of electric/hybrid vehicles in total vehicles imported by 2025.,2020.0,Multiple,Government of Kenya,Unclear / Needs Review
Latvia,National,Legislation,"Private car tax exemption for vehicles with less than 50gCO2/km, lowest rate (EUR 10/month) for company cars.",2020.0,"LDV, Taxation",Government of Latvia,Unclear / Needs Review
China,National,Legislation,Strengthened regulation for NEV manufacturer.,2020.0,Manufacturing,"China, Ministry of Industry and Information Technology",Unclear / Needs Review
China,National,Target,"Proportion of NEVs in new or updated government vehicles for public transport, rental, logistics and distribution in national pilot ecological civilisation zones and key regions for air pollution prevention and control should be no less than 80% from 2021 onwards.",2020.0,Multiple,China State Council,Early EV R&D
China,National,Proposal,"Total FCEV fleet reaches around 100 000 by 2025, and around 1 million during the 2030 - 2035 period (Energy-saving and New Energy Vehicle Technology Roadmap 2.0, prepared by China Society of Automotive Engineers, not official government policy).",2020.0,M/HDV,China Society of Automotive Engineers,Direct Subsidies
China,National,Ambition,NEV sales account for around 20% of total new vehicle sales by 2025.,2020.0,LDV,China State Council,Unclear / Needs Review
China,National,Target,Achieve an average electricity consumption of new passenger BEVs ≤ 12.0 kWh/ 100 km by 2025.,2020.0,Manufacturing,China State Council,Unclear / Needs Review
France,National,Legislation,Tax relief available on the installation of a home charger.,2020.0,"EVSE, Taxation",Government of France,Tax Credits
France,National,Legislation,Subsidies of 30% of the cost of the installation of chargers that are made publicly available.,2020.0,EVSE,Government of France,Unclear / Needs Review
France,National,Target,"EUR 100 million dedicated to developing charging infrastructure, aiming to cover 75% of the main road network with connections up to 5MW.",2020.0,EVSE,Government of France,Infrastructure Spending
France,National,Target,"660 000 EVs in 2023, 3 million by 2028; 500 000 PHEVs by 2023, 1.8 million by 2028; 170 000 EV/PHEV LCVs, 0.5 million by 2028.",2020.0,LDV,Government of France,Direct Subsidies
France,National,Target,"21 000 low-emission HDVs by 2023, 65 000 by 2028.",2020.0,M/HDV,Government of France,Direct Subsidies
France,National,Target,"100 000 public charging points by 2023, 7 million public and private charging points by 2030, and 100 hydrogen stations increasing to 400 to 1 000 by 2028.",2020.0,EVSE,Government of France,ZEV Mandates
Hungary,National,Legislation,"Grants towards the private and commercial purchase of a BEV, up to 55% of the purchase cost for taxis.",2020.0,LDV,Government of Hungary,EV Grants
Iceland,National,Proposal,Ban sales of passenger petrol and diesel vehicles after 2030.,2020.0,LDV,Government of Iceland,ICE Bans
Iceland,National,Target,"As of 2020, government entities will not purchase gasoline/petrol or diesel vehicles.",2020.0,LDV,Government of Iceland,Unclear / Needs Review
India,Subnational,Ambition,25% share of EVs in sales by 2024.,2020.0,Multiple,"Government of Delhi, India",Unclear / Needs Review
Mexico,Subnational,Ambition,"Mobility sector emission reduction plan of Mexico city: 30% emission reduction from mobile sources; time-bound partial traffic restrictions, carpooling schemes, LEZ in central city; 10 000 e-bikes and 16 mass bike parking facilities by 2024; 100% electric moto taxis in 2024, incentive scheme; 10% of private cars are EVs or HEVs in 2024.",2020.0,Multiple,Government of Mexico City,Net-Zero Regulations
Netherlands,National,Legislation,"Grants available for the purchase or lease of new EV with a range of at least 120 km, lower rates for used EVs.",2020.0,LDV,Government of the Netherlands,EV Grants
Nigeria,National,Ambition,"100% transition to EV by 2060 with interim targets of 1% EV and 2% HEV by 2030, and 60% EV and 20% HEV by 2050.",2020.0,LDV,Government of Nigeria,ZEV Mandates
Pakistan,National,Target,"30% share of EVs in truck sales by 2030, and 90% by 2040.",2020.0,M/HDV,Government of Pakistan,ZEV Mandates
Poland,National,Legislation,"Grant of 80-90% of eligible costs of the purchase or lease of an electric bus (BEV/FCEV/e-Trolley), and 50% of the infrastructure cost.",2020.0,"Bus, EVSE",Government of Poland,EV Grants
